영업일자,상품분류,상품명,판매수량
2021-02-23,식료,초코라떼(ICE),2
2021-02-23,식료,그린티라떼(HOT) ,1
2021-02-23,식료,흑당라떼(ICE),2
2021-02-23,식료,아이스티,1
2021-02-23,식료,스위티자몽(HOT),3
2021-02-23,식료,스위티자몽(ICE),2
2021-02-23,식료,청포도주스(ICE),6
2021-02-23,식료,아메리카노(HOT),34
2021-02-23,식료,아메리카노(ICE),34
2021-02-24,식료,카페라떼(HOT),6
2021-02-24,식료,카페라떼(ICE),4
2021-02-24,식료,카푸치노(HOT),7
2021-02-24,식료,바닐라라떼(HOT),2
2021-02-24,식료,바닐라라떼(ICE),4
2021-02-24,식료,카페모카(HOT),1
2021-02-24,식료,초코라떼(HOT),2
2021-02-24,식료,초코라떼(ICE),5
2021-02-24,식료,흑당라떼(HOT),1
2021-02-24,식료,스위티자몽(HOT),1
2021-02-24,식료,스위티자몽(ICE),1
2021-02-24,식료,청포도주스(ICE),5
2021-02-24,식료,아메리카노(HOT),26
2021-02-24,식료,아메리카노(ICE),18
2021-02-25,식료,카페라떼(HOT),3
2021-02-25,식료,카페라떼(ICE),2
2021-02-25,식료,카푸치노(HOT),2
2021-02-25,식료,바닐라라떼(HOT),4
2021-02-25,식료,바닐라라떼(ICE),1
2021-02-25,식료,카페모카(HOT),1
2021-02-25,식료,카페모카(ICE),1
2021-02-25,식료,초코라떼(HOT),1
2021-02-25,식료,그린티라떼(HOT) ,1
2021-02-25,식료,그린티라떼(ICE) ,1
2021-02-25,식료,자두주스(ICE),1
2021-02-25,식료,스위티자몽(HOT),3
2021-02-25,식료,스위티자몽(ICE),3
2021-02-25,식료,청포도주스(ICE),3
2021-02-25,식료,아메리카노(HOT),19
2021-02-25,식료,아메리카노(ICE),12
2021-02-26,식료,카페라떼(HOT),4
2021-02-26,식료,바닐라라떼(HOT),3
2021-02-26,식료,카페모카(HOT),1
2021-02-26,식료,그린티라떼(HOT) ,1
2021-02-26,식료,흑당라떼(ICE),1
2021-02-26,식료,아이스티,1
2021-02-26,식료,자두주스(ICE),1
2021-02-26,식료,스위티자몽(ICE),2
2021-02-26,식료,청포도주스(ICE),4
2021-02-26,식료,아메리카노(HOT),13
2021-02-26,식료,아메리카노(ICE),15
2021-02-27,식료,카페라떼(HOT),8
2021-02-27,식료,카페라떼(ICE),6
2021-02-27,식료,카푸치노(HOT),4
2021-02-27,식료,바닐라라떼(HOT),8
2021-02-27,식료,바닐라라떼(ICE),3
2021-02-27,식료,카페모카(HOT),5
2021-02-27,식료,카페모카(ICE),2
2021-02-27,식료,초코라떼(HOT),5
2021-02-27,식료,초코라떼(ICE),2
2021-02-27,식료,그린티라떼(HOT) ,2
2021-02-27,식료,그린티라떼(ICE) ,3
2021-02-27,식료,흑당라떼(HOT),1
2021-02-27,식료,흑당라떼(ICE),3
2021-02-27,식료,아이스티,7
2021-02-27,식료,자두주스(ICE),1
2021-02-27,식료,스위티자몽(HOT),7
2021-02-27,식료,스위티자몽(ICE),5
2021-02-27,식료,청포도주스(ICE),10
2021-02-27,식료,아메리카노(HOT),63
2021-02-27,식료,아메리카노(ICE),33
2021-02-28,식료,카페라떼(HOT),13
2021-02-28,식료,카페라떼(ICE),11
2021-02-28,식료,카푸치노(HOT),4
2021-02-28,식료,바닐라라떼(HOT),2
2021-02-28,식료,바닐라라떼(ICE),9
2021-02-28,식료,카페모카(HOT),4
2021-02-28,식료,카페모카(ICE),1
2021-02-28,식료,초코라떼(HOT),6
2021-02-28,식료,초코라떼(ICE),7
2021-02-28,식료,그린티라떼(HOT) ,1
2021-02-28,식료,그린티라떼(ICE) ,1
2021-02-28,식료,흑당라떼(HOT),1
2021-02-28,식료,흑당라떼(ICE),1
2021-02-28,식료,아이스티,5
2021-02-28,식료,자두주스(ICE),3
2021-02-28,식료,스위티자몽(HOT),3
2021-02-28,식료,스위티자몽(ICE),4
2021-02-28,식료,청포도주스(ICE),21
2021-02-28,식료,아메리카노(HOT),66
2021-02-28,식료,아메리카노(ICE),46
2021-03-01,식료,카페라떼(HOT),6
2021-03-01,식료,카페라떼(ICE),8
2021-03-01,식료,카푸치노(HOT),3
2021-03-01,식료,바닐라라떼(HOT),10
2021-03-01,식료,바닐라라떼(ICE),7
2021-03-01,식료,카페모카(ICE),2
2021-03-01,식료,초코라떼(HOT),4
2021-03-01,식료,초코라떼(ICE),4
2021-03-01,식료,그린티라떼(HOT) ,1
2021-03-01,식료,흑당라떼(HOT),2
2021-03-01,식료,아이스티,7
2021-03-01,식료,자두주스(ICE),4
2021-03-01,식료,스위티자몽(HOT),1
2021-03-01,식료,스위티자몽(ICE),1
2021-03-01,식료,청포도주스(ICE),10
2021-03-01,식료,아메리카노(HOT),40
2021-03-01,식료,아메리카노(ICE),39
2021-03-02,식료,카페라떼(HOT),3
2021-03-02,식료,카페라떼(ICE),2
2021-03-02,식료,카푸치노(HOT),1
2021-03-02,식료,바닐라라떼(HOT),2
2021-03-02,식료,초코라떼(HOT),2
2021-03-02,식료,초코라떼(ICE),1
2021-03-02,식료,그린티라떼(ICE) ,1
2021-03-02,식료,흑당라떼(HOT),1
2021-03-02,식료,흑당라떼(ICE),1
2021-03-02,식료,아이스티,1
2021-03-02,식료,자두주스(ICE),1
2021-03-02,식료,스위티자몽(HOT),3
2021-03-02,식료,청포도주스(ICE),1
2021-03-02,식료,아메리카노(HOT),21
2021-03-02,식료,아메리카노(ICE),13
2021-03-03,식료,카푸치노(HOT),1
2021-03-03,식료,바닐라라떼(HOT),3
2021-03-03,식료,바닐라라떼(ICE),1
2021-03-03,식료,카페모카(HOT),1
2021-03-03,식료,카페모카(ICE),1
2021-03-03,식료,초코라떼(HOT),3
2021-03-03,식료,흑당라떼(HOT),2
2021-03-03,식료,아이스티,1
2021-03-03,식료,자두주스(ICE),2
2021-03-03,식료,청포도주스(ICE),1
2021-03-03,식료,아메리카노(HOT),22
2021-03-03,식료,아메리카노(ICE),9
2021-03-04,식료,카페라떼(HOT),3
2021-03-04,식료,카페라떼(ICE),1
2021-03-04,식료,카푸치노(HOT),1
2021-03-04,식료,바닐라라떼(HOT),2
2021-03-04,식료,바닐라라떼(ICE),4
2021-03-04,식료,카페모카(ICE),2
2021-03-04,식료,초코라떼(HOT),3
2021-03-04,식료,아이스티,2
2021-03-04,식료,자두주스(ICE),1
2021-03-04,식료,스위티자몽(HOT),1
2021-03-04,식료,청포도주스(ICE),4
2021-03-04,식료,아메리카노(HOT),12
2021-03-04,식료,아메리카노(ICE),13
2021-03-05,식료,카페라떼(HOT),6
2021-03-05,식료,카페라떼(ICE),1
2021-03-05,식료,카푸치노(HOT),4
2021-03-05,식료,바닐라라떼(HOT),2
2021-03-05,식료,카페모카(HOT),3
2021-03-05,식료,흑당라떼(HOT),1
2021-03-05,식료,아이스티,2
2021-03-05,식료,자두주스(ICE),1
2021-03-05,식료,스위티자몽(HOT),3
2021-03-05,식료,스위티자몽(ICE),2
2021-03-05,식료,청포도주스(ICE),2
2021-03-05,식료,아메리카노(HOT),21
2021-03-05,식료,아메리카노(ICE),12
